findMPP();
VBattMax=693
VBatt	ISolar	D	Pl	MPP
637	0	0	0	0
637	0	5	645	5
637	1	10	2580	10
637	1	15	4515	15
637	2	20	7095	20
637	4	25	10320	25
638	5	30	14212	30
638	7	35	18734	35
638	9	40	23902	40
638	11	45	29070	45
638	13	50	34884	50
639	16	55	41408	55
639	18	60	48525	60
639	21	65	56289	65
640	24	70	64152	70
640	28	75	72576	75
640	31	80	82296	80
650	145	85	381640	85
654	171	90	453470	90
657	175	95	465500	95
659	171	100	456895	95
661	168	105	450906	95
662	161	110	432820	95
663	157	115	422730	95
663	150	120	404613	95
663	145	125	391193	95
664	141	130	379008	95
663	135	135	363011	95
663	132	140	356301	95
663	126	145	338184	95
663	124	150	334829	95
662	118	155	316910	95
662	118	160	316910	95
661	111	165	298374	95
661	111	170	298374	95
660	105	175	282564	95
659	105	180	280807	95
658	100	185	268398	95
658	100	190	266400	95
657	96	195	255360	95
656	95	200	252984	95
655	90	205	240669	95
655	89	210	238017	95
654	86	215	229052	95
654	85	220	225080	95
653	85	225	224740	95
653	81	230	215486	95
653	80	235	213503	95
652	77	240	204600	95
652	76	245	201960	95
651	76	250	201654	95
651	75	255	199018	95
