findMPP();
VBattMax=693
VBatt	ISolar	D	Pl	MPP
637	0	0	0	0
637	0	5	0	0
637	0	10	0	0
637	0	15	0	0
637	0	20	0	0
637	0	25	0	0
637	0	30	0	0
637	0	35	0	0
637	0	40	0	0
637	0	45	0	0
637	0	50	0	0
637	0	55	0	0
637	0	60	0	0
637	0	65	0	0
637	0	70	0	0
637	0	75	0	0
637	0	80	0	0
637	0	85	0	0
637	0	90	0	0
637	0	95	0	0
637	0	100	0	0
637	0	105	0	0
637	0	110	0	0
637	0	115	0	0
637	0	120	0	0
637	0	125	0	0
637	0	130	0	0
637	0	135	0	0
637	0	140	0	0
637	0	145	0	0
637	0	150	0	0
637	0	155	0	0
637	0	160	0	0
637	0	165	0	0
637	0	170	0	0
637	0	175	0	0
637	0	180	0	0
637	0	185	0	0
637	0	190	0	0
637	0	195	0	0
637	0	200	0	0
637	0	205	0	0
637	0	210	0	0
637	0	215	0	0
637	0	220	0	0
637	0	225	0	0
637	0	230	0	0
637	0	235	0	0
637	0	240	0	0
637	0	245	0	0
637	0	250	0	0
637	0	255	0	0
findMPP();
VBattMax=693
VBatt	ISolar	D	Pl	MPP
637	0	0	0	0
637	0	5	645	5
637	0	10	1935	10
637	1	15	3870	15
637	2	20	6450	20
637	3	25	8385	25
637	4	30	12255	30
637	5	35	14190	35
638	7	40	18734	40
638	8	45	22610	45
638	10	50	26486	50
638	12	55	32946	55
638	12	60	32300	55
638	15	65	40698	65
639	15	70	40761	70
639	17	75	45290	75
639	19	80	49819	80
639	18	85	46584	80
639	21	90	54995	90
639	19	95	49172	90
639	21	100	56289	100
639	19	105	49172	100
639	20	110	51760	100
639	20	115	53701	100
639	18	120	46584	100
639	21	125	56289	100
639	15	130	40114	100
639	20	135	51760	100
639	15	140	38820	100
639	18	145	46584	100
639	18	150	46584	100
639	15	155	40761	100
639	17	160	43996	100
639	10	165	25880	100
639	19	170	50466	100
639	11	175	30409	100
639	18	180	47878	100
639	15	185	38820	100
639	10	190	26527	100
639	11	195	28468	100
638	7	200	20026	100
639	16	205	43349	100
638	5	210	14212	100
639	16	215	42055	100
639	12	220	32350	100
639	15	225	39467	100
639	13	230	34938	100
638	2	235	5168	100
639	14	240	36879	100
639	10	245	27174	100
639	14	250	37526	100
639	13	255	33644	100
findMPP();
VBattMax=693
VBatt	ISolar	D	Pl	MPP
637	0	0	0	0
636	0	5	0	0
637	0	10	0	0
636	0	15	0	0
636	0	20	0	0
637	0	25	0	0
637	0	30	0	0
637	0	35	0	0
637	0	40	0	0
636	0	45	0	0
636	0	50	0	0
636	0	55	0	0
636	0	60	0	0
636	0	65	0	0
636	0	70	0	0
637	0	75	0	0
636	0	80	0	0
636	0	85	0	0
636	0	90	0	0
636	0	95	0	0
636	0	100	0	0
637	0	105	0	0
636	0	110	0	0
636	0	115	0	0
637	0	120	0	0
636	0	125	0	0
636	0	130	0	0
636	0	135	0	0
636	0	140	0	0
637	0	145	0	0
636	0	150	0	0
636	0	155	0	0
636	0	160	0	0
637	0	165	0	0
636	0	170	0	0
636	0	175	0	0
636	0	180	0	0
636	0	185	0	0
636	0	190	0	0
636	0	195	0	0
636	0	200	0	0
636	0	205	0	0
636	0	210	0	0
636	0	215	0	0
636	0	220	0	0
636	0	225	0	0
636	0	230	0	0
636	0	235	0	0
636	0	240	0	0
636	0	245	0	0
636	0	250	0	0
636	0	255	0	0
findMPP();
VBattMax=693
VBatt	ISolar	D	Pl	MPP
637	0	0	0	0
637	0	5	645	5
637	1	10	2580	10
637	1	15	4515	15
637	2	20	7095	20
637	4	25	10320	25
637	5	30	14190	30
637	7	35	18705	35
638	9	40	23902	40
638	11	45	29070	45
638	13	50	35530	50
638	16	55	41344	55
639	18	60	48525	60
639	21	65	56289	65
639	24	70	64053	70
640	28	75	72576	75
640	31	80	82296	80
650	147	85	386904	85
